    Settle time: 0 ms,,,,,,,,,,,,,,    Settle time: 0 ms,,,,,,,,,,,,,,    Settle time: 0 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    IntegrationTime: 100 ms,,,,,,,,,,,,,,    IntegrationTime: 100 ms,,,,,,,,,,,,,,    IntegrationTime: 100 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Output: Counts / s,,,,,,,,,,,,,,    Output: Counts / s,,,,,,,,,,,,,,    Output: Counts / s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: Move plate,,,,,,,,,,,,,,    Mode: Move plate,,,,,,,,,,,,,,    Mode: Move plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Movement: Out,,,,,,,,,,,,,,    Movement: Out,,,,,,,,,,,,,,    Movement: Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meas. temperature: Raw data: 25.9 °C,,,,,,,,,,,,,,Meas. temperature: Raw data: 26.6 °C,,,,,,,,,,,,,,Meas. temperature: Raw data: 25.6 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: 2018-05-04, Time: 10:18:58",,,,,,,,,,,,,,"Date: 2018-05-05, Time: 10:15:20",,,,,,,,,,,,,,"Date: 2018-05-06, Time: 11:48:42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),,,,,,,,,,,,,,,,,,,,,,,,,,,,Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib),Map for plate 2-4 (Osimertinib titration with or without constent dose of Dacomitinib)
"Plate 2-4: seed 2K cells/well; start drug treatment next day; CTG read at 1,2,and 3 day after drug treatment: read plate 2 on day 1 (24h after drug treatment; read plate 3 on day 2 (48h after drug treatment; read plate 4 on day 3 (72h after drug treatment ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osi nM,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
